| S.No |                              Author                             | Year |                                                           Title                                                           |           Dataset           |                                                                                                                                                                      Main findings                                                                                                                                                                      |
|:----:|:---------------------------------------------------------------:|:----:|:-------------------------------------------------------------------------------------------------------------------------:|:---------------------------:|:-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------:|
|   1  |    Nitin Nikamanth Appiah Balaji, B. Bharathi and J. Bhuvana    | 2020 |                               Sentiment Analysis for Dravidian Languages in  Code-Mixed Text                              | Dravidian-CodeMix-FIRE 2020 |                                                                                                    Classification task performed using machine learning models with features extracted from techniques such as TF, TFIDF, BERT, fastText, and LSTM.                                                                                                     |
|   2  |                           Gaurav Arora                          | 2020 |                  Pre-training ULMFiT on Synthetically Generated Code-Mixed Data for Hate Speech Detection                 | Dravidian-CodeMix-FIRE 2020 |                                                                              In this paper, pretraining ULMFiT on synthetically generated code-mixed data is performed which is  generated by modelling code-mixed data generation as a Markov process using Markov chains                                                                              |
|   3  |           Fazlourrahman Balouchzahi, H L Shashirekha            | 2020 |                                         SACO-Sentiments Analysis for CodeMix Text                                         | Dravidian-CodeMix-FIRE 2020 |                                                       Hybrid Voting Classifier (HVC) by combining Machine Learning (ML) models using word embeddings is proposedand n-grams features extracted from sentences with Deep Learning (DL) models based on BiLSTM using sub-words embedding features.                                                        |
|   4  | Shubhanker Banerjeea , Arun Jayapalb and Sajeetha Thavareesanc  | 2020 |                                Sentiment Analysis of Code-Mixed Dravidian text using XLNet                                | Dravidian-CodeMix-FIRE 2020 |                                                                                                     The proposed approach uses auto-regressive XLNet model to perform sentiment analysis on code-mixed Tamil-English and Malayalam-English datasets.                                                                                                    |
|   5  |                      Bo Huang and Yang Bai                      | 2020 |                      Sentiment Analysis on Multilingual Code Mixing Text with M-BERT and XLM-RoBERTa                      | Dravidian-CodeMix-FIRE 2020 |                                                                                     Deep Learning model combining Multi-lingual Bert and the fine-tuned XLM-RoBERTa multi-step integration was provided as a method for amalyzing sentiments on the Code-Mixed Text.                                                                                    |
|   6  |                        Judith Jeyafreeda                        | 2020 |                               Sentiment Analysis of YouTube Comments for DravidianLanguages                               | Dravidian-CodeMix-FIRE 2020 |                     Using word-level based preprocessing using orthographic information and transcribing the native script to a common representation such as Latin script or International Phonetic Alphabet (IPA) showed improvements in the result for Dravidian languages and also alleviated the problem of different scripts.                     |
|   7  |                  A. Kalaivani and D. Thenmozhi                  | 2020 |                        Sentiment Code-Mixed Text Classification in Tamil and Malayalam using ULMFiT                       | Dravidian-CodeMix-FIRE 2020 |                                                                                   An equally good sentiment classification and detection performance for the two Dravidian language was achieved by the AWD-LSTM model with ULMFiT framework using the FastAi library                                                                                   |
|   8  |     Nikita Kanwar, Megha Agarwal, and Rajesh Kumar Mundotiya    | 2020 |                                Traditional Approach to Noisy Code-Mixed Sentiment Analysis                                | Dravidian-CodeMix-FIRE 2020 |                                                                                                   A basic logistic regression model trained on syntax-based features and undersampling technique was able to achieve remarkable results on the dataset                                                                                                  |
|   9  |                    Bharathi Raja Chakravarthi                   | 2020 |                                A Sentiment Analysis Dataset for Code-Mixed Malayalam-English                              | Dravidian-CodeMix-FIRE 2020 | This paper presents a new gold standard corpus for sentiment analysis of code-mixed text in Malayalam-English annotated by voluntary annotators. This gold standard corpus obtained a Krippendorff's alpha above 0.8 for the dataset. They used this new corpus to provide the benchmark for sentiment analysis in Malayalam-English code-mixed texts.  |
